2025-01-03 00:10:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:10:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:10:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:10:33 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:10:43 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:10:53 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:24 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:34 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:44 |INFO  |main |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2025-01-03 00:11:44 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:11:54 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:04 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:14 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:24 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:34 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:44 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:12:54 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:04 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:14 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:24 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:34 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:44 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:13:54 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
